Store,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday
1,c,a,1270.0,9.0,2008.0,2,2015-06-23,3762,447,1,0,0,0
1,c,a,1270.0,9.0,2008.0,1,2015-06-22,3846,489,1,0,0,0
1,c,a,1270.0,9.0,2008.0,7,2015-06-21,0,0,0,0,0,0
1,c,a,1270.0,9.0,2008.0,6,2015-06-20,4097,494,1,0,0,0
1,c,a,1270.0,9.0,2008.0,5,2015-06-19,4202,487,1,1,0,0
1,c,a,1270.0,9.0,2008.0,4,2015-06-18,4645,498,1,1,0,0
1,c,a,1270.0,9.0,2008.0,3,2015-06-17,4000,476,1,1,0,0
1,c,a,1270.0,9.0,2008.0,2,2015-06-16,4852,503,1,1,0,0
1,c,a,1270.0,9.0,2008.0,1,2015-06-15,5518,586,1,1,0,0
1,c,a,1270.0,9.0,2008.0,7,2015-06-14,0,0,0,0,0,0
1,c,a,1270.0,9.0,2008.0,6,2015-06-13,4256,502,1,0,0,0
1,c,a,1270.0,9.0,2008.0,5,2015-06-12,3695,422,1,0,0,0
1,c,a,1270.0,9.0,2008.0,4,2015-06-11,3627,442,1,0,0,0
1,c,a,1270.0,9.0,2008.0,3,2015-06-10,3591,453,1,0,0,0
1,c,a,1270.0,9.0,2008.0,2,2015-06-09,4102,485,1,0,0,0
1,c,a,1270.0,9.0,2008.0,1,2015-06-08,4071,502,1,0,0,0
1,c,a,1270.0,9.0,2008.0,7,2015-06-07,0,0,0,0,0,0
1,c,a,1270.0,9.0,2008.0,6,2015-06-06,4183,460,1,0,0,0
1,c,a,1270.0,9.0,2008.0,5,2015-06-05,5384,609,1,1,0,0
1,c,a,1270.0,9.0,2008.0,4,2015-06-04,0,0,0,1,a,0
1,c,a,1270.0,9.0,2008.0,3,2015-06-03,5809,616,1,1,0,0
1,c,a,1270.0,9.0,2008.0,2,2015-06-02,5450,590,1,1,0,0
1,c,a,1270.0,9.0,2008.0,1,2015-06-01,5774,607,1,1,0,0
1,c,a,1270.0,9.0,2008.0,7,2015-05-31,0,0,0,0,0,0
1,c,a,1270.0,9.0,2008.0,6,2015-05-30,5592,580,1,0,0,0
1,c,a,1270.0,9.0,2008.0,5,2015-05-29,4656,537,1,0,0,0
1,c,a,1270.0,9.0,2008.0,4,2015-05-28,4111,474,1,0,0,0
1,c,a,1270.0,9.0,2008.0,3,2015-05-27,4083,497,1,0,0,0
1,c,a,1270.0,9.0,2008.0,2,2015-05-26,4211,479,1,0,0,0
1,c,a,1270.0,9.0,2008.0,1,2015-05-25,0,0,0,0,a,0
1,c,a,1270.0,9.0,2008.0,7,2015-05-24,0,0,0,0,0,0
1,c,a,1270.0,9.0,2008.0,6,2015-05-23,4276,506,1,0,0,0
1,c,a,1270.0,9.0,2008.0,5,2015-05-22,4459,495,1,1,0,0
1,c,a,1270.0,9.0,2008.0,4,2015-05-21,3755,471,1,1,0,0
1,c,a,1270.0,9.0,2008.0,3,2015-05-20,4735,533,1,1,0,0
1,c,a,1270.0,9.0,2008.0,2,2015-05-19,5235,546,1,1,0,0
1,c,a,1270.0,9.0,2008.0,1,2015-05-18,5280,577,1,1,0,0
1,c,a,1270.0,9.0,2008.0,7,2015-05-17,0,0,0,0,0,0
1,c,a,1270.0,9.0,2008.0,6,2015-05-16,4431,505,1,0,0,0
1,c,a,1270.0,9.0,2008.0,5,2015-05-15,4178,523,1,0,0,0
1,c,a,1270.0,9.0,2008.0,4,2015-05-14,0,0,0,0,a,0
1,c,a,1270.0,9.0,2008.0,3,2015-05-13,3998,523,1,0,0,0
1,c,a,1270.0,9.0,2008.0,2,2015-05-12,3547,438,1,0,0,0
1,c,a,1270.0,9.0,2008.0,1,2015-05-11,3551,453,1,0,0,0
1,c,a,1270.0,9.0,2008.0,7,2015-05-10,0,0,0,0,0,0
1,c,a,1270.0,9.0,2008.0,6,2015-05-09,4945,596,1,0,0,0
1,c,a,1270.0,9.0,2008.0,5,2015-05-08,4683,536,1,1,0,0
1,c,a,1270.0,9.0,2008.0,4,2015-05-07,4529,491,1,1,0,0
1,c,a,1270.0,9.0,2008.0,3,2015-05-06,4960,536,1,1,0,0
1,c,a,1270.0,9.0,2008.0,2,2015-05-05,4564,514,1,1,0,0
1,c,a,1270.0,9.0,2008.0,1,2015-05-04,5591,589,1,1,0,0
1,c,a,1270.0,9.0,2008.0,7,2015-05-03,0,0,0,0,0,0
1,c,a,1270.0,9.0,2008.0,6,2015-05-02,5850,653,1,0,0,0
1,c,a,1270.0,9.0,2008.0,5,2015-05-01,0,0,0,1,a,0
1,c,a,1270.0,9.0,2008.0,4,2015-04-30,6228,650,1,1,0,0
1,c,a,1270.0,9.0,2008.0,3,2015-04-29,5775,579,1,1,0,0
1,c,a,1270.0,9.0,2008.0,2,2015-04-28,5199,552,1,1,0,0
1,c,a,1270.0,9.0,2008.0,1,2015-04-27,5575,574,1,1,0,0
1,c,a,1270.0,9.0,2008.0,7,2015-04-26,0,0,0,0,0,0
1,c,a,1270.0,9.0,2008.0,6,2015-04-25,4318,537,1,0,0,0
1,c,a,1270.0,9.0,2008.0,5,2015-04-24,3198,437,1,0,0,0
1,c,a,1270.0,9.0,2008.0,4,2015-04-23,3076,426,1,0,0,0
1,c,a,1270.0,9.0,2008.0,3,2015-04-22,3319,411,1,0,0,0
1,c,a,1270.0,9.0,2008.0,2,2015-04-21,3037,416,1,0,0,0
1,c,a,1270.0,9.0,2008.0,1,2015-04-20,3722,480,1,0,0,0
1,c,a,1270.0,9.0,2008.0,7,2015-04-19,0,0,0,0,0,0
1,c,a,1270.0,9.0,2008.0,6,2015-04-18,4594,544,1,0,0,0
1,c,a,1270.0,9.0,2008.0,5,2015-04-17,4718,511,1,1,0,0
1,c,a,1270.0,9.0,2008.0,4,2015-04-16,4116,480,1,1,0,0
1,c,a,1270.0,9.0,2008.0,3,2015-04-15,4110,501,1,1,0,0
1,c,a,1270.0,9.0,2008.0,2,2015-04-14,4648,535,1,1,0,0
1,c,a,1270.0,9.0,2008.0,1,2015-04-13,5377,574,1,1,0,0
1,c,a,1270.0,9.0,2008.0,7,2015-04-12,0,0,0,0,0,0
1,c,a,1270.0,9.0,2008.0,6,2015-04-11,4173,525,1,0,0,0
1,c,a,1270.0,9.0,2008.0,5,2015-04-10,3549,428,1,0,0,1
1,c,a,1270.0,9.0,2008.0,4,2015-04-09,3467,430,1,0,0,1
1,c,a,1270.0,9.0,2008.0,3,2015-04-08,4194,500,1,0,0,1
1,c,a,1270.0,9.0,2008.0,2,2015-04-07,4163,555,1,0,0,1
1,c,a,1270.0,9.0,2008.0,1,2015-04-06,0,0,0,0,b,1
1,c,a,1270.0,9.0,2008.0,7,2015-04-05,0,0,0,0,0,1
1,c,a,1270.0,9.0,2008.0,6,2015-04-04,6709,796,1,0,0,1
1,c,a,1270.0,9.0,2008.0,5,2015-04-03,0,0,0,1,b,1
1,c,a,1270.0,9.0,2008.0,4,2015-04-02,6574,722,1,1,0,1
1,c,a,1270.0,9.0,2008.0,3,2015-04-01,6816,707,1,1,0,1
1,c,a,1270.0,9.0,2008.0,2,2015-03-31,6206,589,1,1,0,1
1,c,a,1270.0,9.0,2008.0,1,2015-03-30,6714,697,1,1,0,1
1,c,a,1270.0,9.0,2008.0,7,2015-03-29,0,0,0,0,0,0
1,c,a,1270.0,9.0,2008.0,6,2015-03-28,5208,605,1,0,0,0
1,c,a,1270.0,9.0,2008.0,5,2015-03-27,4005,529,1,0,0,0
1,c,a,1270.0,9.0,2008.0,4,2015-03-26,3932,490,1,0,0,0
1,c,a,1270.0,9.0,2008.0,3,2015-03-25,3531,447,1,0,0,0
1,c,a,1270.0,9.0,2008.0,2,2015-03-24,3547,464,1,0,0,0
1,c,a,1270.0,9.0,2008.0,1,2015-03-23,3565,495,1,0,0,0
1,c,a,1270.0,9.0,2008.0,7,2015-03-22,0,0,0,0,0,0
1,c,a,1270.0,9.0,2008.0,6,2015-03-21,3909,506,1,0,0,0
1,c,a,1270.0,9.0,2008.0,5,2015-03-20,4057,472,1,1,0,0
1,c,a,1270.0,9.0,2008.0,4,2015-03-19,4748,535,1,1,0,0
1,c,a,1270.0,9.0,2008.0,3,2015-03-18,3858,504,1,1,0,0
1,c,a,1270.0,9.0,2008.0,2,2015-03-17,4806,555,1,1,0,0
1,c,a,1270.0,9.0,2008.0,1,2015-03-16,5695,605,1,1,0,0
1,c,a,1270.0,9.0,2008.0,7,2015-03-15,0,0,0,0,0,0
1,c,a,1270.0,9.0,2008.0,6,2015-03-14,5225,599,1,0,0,0
1,c,a,1270.0,9.0,2008.0,5,2015-03-13,3725,493,1,0,0,0
1,c,a,1270.0,9.0,2008.0,4,2015-03-12,3141,405,1,0,0,0
1,c,a,1270.0,9.0,2008.0,3,2015-03-11,4170,521,1,0,0,0
1,c,a,1270.0,9.0,2008.0,2,2015-03-10,3805,491,1,0,0,0
1,c,a,1270.0,9.0,2008.0,1,2015-03-09,3701,485,1,0,0,0
1,c,a,1270.0,9.0,2008.0,7,2015-03-08,0,0,0,0,0,0
1,c,a,1270.0,9.0,2008.0,6,2015-03-07,4592,570,1,0,0,0
1,c,a,1270.0,9.0,2008.0,5,2015-03-06,5397,579,1,1,0,0
1,c,a,1270.0,9.0,2008.0,4,2015-03-05,4419,534,1,1,0,0
1,c,a,1270.0,9.0,2008.0,3,2015-03-04,5568,597,1,1,0,0
1,c,a,1270.0,9.0,2008.0,2,2015-03-03,5451,576,1,1,0,0
1,c,a,1270.0,9.0,2008.0,1,2015-03-02,5942,669,1,1,0,0
1,c,a,1270.0,9.0,2008.0,7,2015-03-01,0,0,0,0,0,0
1,c,a,1270.0,9.0,2008.0,6,2015-02-28,5289,640,1,0,0,0
1,c,a,1270.0,9.0,2008.0,5,2015-02-27,4708,542,1,0,0,0
1,c,a,1270.0,9.0,2008.0,4,2015-02-26,4042,489,1,0,0,0
1,c,a,1270.0,9.0,2008.0,3,2015-02-25,3875,512,1,0,0,0
1,c,a,1270.0,9.0,2008.0,2,2015-02-24,4054,500,1,0,0,0
1,c,a,1270.0,9.0,2008.0,1,2015-02-23,3598,454,1,0,0,0
1,c,a,1270.0,9.0,2008.0,7,2015-02-22,0,0,0,0,0,0
1,c,a,1270.0,9.0,2008.0,6,2015-02-21,4475,547,1,0,0,0
1,c,a,1270.0,9.0,2008.0,5,2015-02-20,4651,548,1,1,0,0
1,c,a,1270.0,9.0,2008.0,4,2015-02-19,4460,507,1,1,0,0
1,c,a,1270.0,9.0,2008.0,3,2015-02-18,4180,509,1,1,0,0
1,c,a,1270.0,9.0,2008.0,2,2015-02-17,4833,512,1,1,0,0
1,c,a,1270.0,9.0,2008.0,1,2015-02-16,4303,478,1,1,0,0
1,c,a,1270.0,9.0,2008.0,7,2015-02-15,0,0,0,0,0,0
1,c,a,1270.0,9.0,2008.0,6,2015-02-14,5015,624,1,0,0,0
1,c,a,1270.0,9.0,2008.0,5,2015-02-13,4726,630,1,0,0,0
1,c,a,1270.0,9.0,2008.0,4,2015-02-12,3900,477,1,0,0,0
1,c,a,1270.0,9.0,2008.0,3,2015-02-11,3735,501,1,0,0,0
1,c,a,1270.0,9.0,2008.0,2,2015-02-10,3136,419,1,0,0,0
1,c,a,1270.0,9.0,2008.0,1,2015-02-09,3965,501,1,0,0,0
1,c,a,1270.0,9.0,2008.0,7,2015-02-08,0,0,0,0,0,0
1,c,a,1270.0,9.0,2008.0,6,2015-02-07,4663,599,1,0,0,0
1,c,a,1270.0,9.0,2008.0,5,2015-02-06,5022,604,1,1,0,0
1,c,a,1270.0,9.0,2008.0,4,2015-02-05,4394,551,1,1,0,0
1,c,a,1270.0,9.0,2008.0,3,2015-02-04,4672,544,1,1,0,0
1,c,a,1270.0,9.0,2008.0,2,2015-02-03,4901,596,1,1,0,0
1,c,a,1270.0,9.0,2008.0,1,2015-02-02,6038,669,1,1,0,0
1,c,a,1270.0,9.0,2008.0,7,2015-02-01,0,0,0,0,0,0
1,c,a,1270.0,9.0,2008.0,6,2015-01-31,5363,638,1,0,0,0
1,c,a,1270.0,9.0,2008.0,5,2015-01-30,5577,616,1,1,0,0
1,c,a,1270.0,9.0,2008.0,4,2015-01-29,5171,573,1,1,0,0
1,c,a,1270.0,9.0,2008.0,3,2015-01-28,4310,537,1,1,0,0
1,c,a,1270.0,9.0,2008.0,2,2015-01-27,4806,532,1,1,0,0
1,c,a,1270.0,9.0,2008.0,1,2015-01-26,4781,566,1,1,0,0
1,c,a,1270.0,9.0,2008.0,7,2015-01-25,0,0,0,0,0,0
1,c,a,1270.0,9.0,2008.0,6,2015-01-24,4840,600,1,0,0,0
1,c,a,1270.0,9.0,2008.0,5,2015-01-23,3586,489,1,0,0,0
1,c,a,1270.0,9.0,2008.0,4,2015-01-22,3492,493,1,0,0,0
1,c,a,1270.0,9.0,2008.0,3,2015-01-21,3299,460,1,0,0,0
1,c,a,1270.0,9.0,2008.0,2,2015-01-20,3680,462,1,0,0,0
1,c,a,1270.0,9.0,2008.0,1,2015-01-19,3721,480,1,0,0,0
1,c,a,1270.0,9.0,2008.0,7,2015-01-18,0,0,0,0,0,0
1,c,a,1270.0,9.0,2008.0,6,2015-01-17,5255,622,1,0,0,0
1,c,a,1270.0,9.0,2008.0,5,2015-01-16,4161,524,1,1,0,0
1,c,a,1270.0,9.0,2008.0,4,2015-01-15,4295,517,1,1,0,0
1,c,a,1270.0,9.0,2008.0,3,2015-01-14,4541,545,1,1,0,0
1,c,a,1270.0,9.0,2008.0,2,2015-01-13,4924,564,1,1,0,0
1,c,a,1270.0,9.0,2008.0,1,2015-01-12,5346,590,1,1,0,0
1,c,a,1270.0,9.0,2008.0,7,2015-01-11,0,0,0,0,0,0
1,c,a,1270.0,9.0,2008.0,6,2015-01-10,4599,566,1,0,0,0
1,c,a,1270.0,9.0,2008.0,5,2015-01-09,3998,494,1,1,0,1
1,c,a,1270.0,9.0,2008.0,4,2015-01-08,3716,457,1,1,0,1
1,c,a,1270.0,9.0,2008.0,3,2015-01-07,4796,603,1,1,0,1
1,c,a,1270.0,9.0,2008.0,2,2015-01-06,4574,595,1,1,0,1
1,c,a,1270.0,9.0,2008.0,1,2015-01-05,6239,712,1,1,0,1
1,c,a,1270.0,9.0,2008.0,7,2015-01-04,0,0,0,0,0,1
1,c,a,1270.0,9.0,2008.0,6,2015-01-03,5023,645,1,0,0,1
1,c,a,1270.0,9.0,2008.0,5,2015-01-02,5509,657,1,0,0,1
1,c,a,1270.0,9.0,2008.0,4,2015-01-01,0,0,0,0,a,1
1,c,a,1270.0,9.0,2008.0,3,2014-12-31,2605,327,1,0,0,1
1,c,a,1270.0,9.0,2008.0,2,2014-12-30,6466,703,1,0,0,1
1,c,a,1270.0,9.0,2008.0,1,2014-12-29,6463,700,1,0,0,1
1,c,a,1270.0,9.0,2008.0,7,2014-12-28,0,0,0,0,0,1
1,c,a,1270.0,9.0,2008.0,6,2014-12-27,6057,684,1,0,0,1
1,c,a,1270.0,9.0,2008.0,5,2014-12-26,0,0,0,0,c,1
1,c,a,1270.0,9.0,2008.0,4,2014-12-25,0,0,0,0,c,1
1,c,a,1270.0,9.0,2008.0,3,2014-12-24,3659,421,1,0,0,1
1,c,a,1270.0,9.0,2008.0,2,2014-12-23,7959,957,1,0,0,1
1,c,a,1270.0,9.0,2008.0,1,2014-12-22,9331,1080,1,0,0,1
1,c,a,1270.0,9.0,2008.0,7,2014-12-21,0,0,0,0,0,0
1,c,a,1270.0,9.0,2008.0,6,2014-12-20,8367,962,1,0,0,0
1,c,a,1270.0,9.0,2008.0,5,2014-12-19,7558,884,1,1,0,0
1,c,a,1270.0,9.0,2008.0,4,2014-12-18,7785,841,1,1,0,0
1,c,a,1270.0,9.0,2008.0,3,2014-12-17,7523,791,1,1,0,0
1,c,a,1270.0,9.0,2008.0,2,2014-12-16,7739,823,1,1,0,0
1,c,a,1270.0,9.0,2008.0,1,2014-12-15,8069,871,1,1,0,0
1,c,a,1270.0,9.0,2008.0,7,2014-12-14,0,0,0,0,0,0
1,c,a,1270.0,9.0,2008.0,6,2014-12-13,7263,850,1,0,0,0
1,c,a,1270.0,9.0,2008.0,5,2014-12-12,5269,617,1,0,0,0
1,c,a,1270.0,9.0,2008.0,4,2014-12-11,5060,587,1,0,0,0
1,c,a,1270.0,9.0,2008.0,3,2014-12-10,4915,619,1,0,0,0
1,c,a,1270.0,9.0,2008.0,2,2014-12-09,4345,559,1,0,0,0
1,c,a,1270.0,9.0,2008.0,1,2014-12-08,4884,610,1,0,0,0
1,c,a,1270.0,9.0,2008.0,7,2014-12-07,0,0,0,0,0,0
1,c,a,1270.0,9.0,2008.0,6,2014-12-06,6185,746,1,0,0,0
1,c,a,1270.0,9.0,2008.0,5,2014-12-05,6207,712,1,1,0,0
1,c,a,1270.0,9.0,2008.0,4,2014-12-04,7016,681,1,1,0,0
1,c,a,1270.0,9.0,2008.0,3,2014-12-03,6454,695,1,1,0,0
1,c,a,1270.0,9.0,2008.0,2,2014-12-02,6467,717,1,1,0,0
1,c,a,1270.0,9.0,2008.0,1,2014-12-01,7380,723,1,1,0,0
1,c,a,1270.0,9.0,2008.0,7,2014-11-30,0,0,0,0,0,0
1,c,a,1270.0,9.0,2008.0,6,2014-11-29,7066,749,1,0,0,0
1,c,a,1270.0,9.0,2008.0,5,2014-11-28,7195,711,1,1,0,0
1,c,a,1270.0,9.0,2008.0,4,2014-11-27,6144,668,1,1,0,0
1,c,a,1270.0,9.0,2008.0,3,2014-11-26,5328,611,1,1,0,0
1,c,a,1270.0,9.0,2008.0,2,2014-11-25,5815,610,1,1,0,0
1,c,a,1270.0,9.0,2008.0,1,2014-11-24,6527,694,1,1,0,0
1,c,a,1270.0,9.0,2008.0,7,2014-11-23,0,0,0,0,0,0
1,c,a,1270.0,9.0,2008.0,6,2014-11-22,5849,678,1,0,0,0
1,c,a,1270.0,9.0,2008.0,5,2014-11-21,4594,570,1,0,0,0
1,c,a,1270.0,9.0,2008.0,4,2014-11-20,4963,635,1,0,0,0
1,c,a,1270.0,9.0,2008.0,3,2014-11-19,3894,494,1,0,0,0
1,c,a,1270.0,9.0,2008.0,2,2014-11-18,3890,529,1,0,0,0
1,c,a,1270.0,9.0,2008.0,1,2014-11-17,3582,491,1,0,0,0
1,c,a,1270.0,9.0,2008.0,7,2014-11-16,0,0,0,0,0,0
1,c,a,1270.0,9.0,2008.0,6,2014-11-15,4967,614,1,0,0,0
1,c,a,1270.0,9.0,2008.0,5,2014-11-14,5334,603,1,1,0,0
1,c,a,1270.0,9.0,2008.0,4,2014-11-13,3869,471,1,1,0,0
1,c,a,1270.0,9.0,2008.0,3,2014-11-12,4677,533,1,1,0,0
1,c,a,1270.0,9.0,2008.0,2,2014-11-11,4479,555,1,1,0,0
1,c,a,1270.0,9.0,2008.0,1,2014-11-10,5474,578,1,1,0,0
1,c,a,1270.0,9.0,2008.0,7,2014-11-09,0,0,0,0,0,0
1,c,a,1270.0,9.0,2008.0,6,2014-11-08,4720,546,1,0,0,0
1,c,a,1270.0,9.0,2008.0,5,2014-11-07,5220,582,1,1,0,0
1,c,a,1270.0,9.0,2008.0,4,2014-11-06,4785,527,1,1,0,0
1,c,a,1270.0,9.0,2008.0,3,2014-11-05,4838,539,1,1,0,0
1,c,a,1270.0,9.0,2008.0,2,2014-11-04,5253,586,1,1,0,0
1,c,a,1270.0,9.0,2008.0,1,2014-11-03,5857,625,1,1,0,0
1,c,a,1270.0,9.0,2008.0,7,2014-11-02,0,0,0,0,0,0
1,c,a,1270.0,9.0,2008.0,6,2014-11-01,6532,731,1,0,0,0
1,c,a,1270.0,9.0,2008.0,5,2014-10-31,4161,512,1,0,0,1
1,c,a,1270.0,9.0,2008.0,4,2014-10-30,4042,492,1,0,0,1
1,c,a,1270.0,9.0,2008.0,3,2014-10-29,3761,449,1,0,0,1
1,c,a,1270.0,9.0,2008.0,2,2014-10-28,3364,439,1,0,0,1
1,c,a,1270.0,9.0,2008.0,1,2014-10-27,4260,475,1,0,0,1
1,c,a,1270.0,9.0,2008.0,7,2014-10-26,0,0,0,0,0,1
1,c,a,1270.0,9.0,2008.0,6,2014-10-25,4596,539,1,0,0,1
1,c,a,1270.0,9.0,2008.0,5,2014-10-24,4196,495,1,1,0,1
1,c,a,1270.0,9.0,2008.0,4,2014-10-23,4466,476,1,1,0,1
1,c,a,1270.0,9.0,2008.0,3,2014-10-22,4868,566,1,1,0,1
1,c,a,1270.0,9.0,2008.0,2,2014-10-21,4678,547,1,1,0,1
1,c,a,1270.0,9.0,2008.0,1,2014-10-20,4652,560,1,1,0,1
1,c,a,1270.0,9.0,2008.0,7,2014-10-19,0,0,0,0,0,0
1,c,a,1270.0,9.0,2008.0,6,2014-10-18,4169,497,1,0,0,0
1,c,a,1270.0,9.0,2008.0,5,2014-10-17,3720,500,1,0,0,0
1,c,a,1270.0,9.0,2008.0,4,2014-10-16,3430,436,1,0,0,0
1,c,a,1270.0,9.0,2008.0,3,2014-10-15,3775,451,1,0,0,0
1,c,a,1270.0,9.0,2008.0,2,2014-10-14,3681,476,1,0,0,0
1,c,a,1270.0,9.0,2008.0,1,2014-10-13,4033,492,1,0,0,0
1,c,a,1270.0,9.0,2008.0,7,2014-10-12,0,0,0,0,0,0
1,c,a,1270.0,9.0,2008.0,6,2014-10-11,4743,557,1,0,0,0
1,c,a,1270.0,9.0,2008.0,5,2014-10-10,4396,539,1,1,0,0
1,c,a,1270.0,9.0,2008.0,4,2014-10-09,4654,527,1,1,0,0
1,c,a,1270.0,9.0,2008.0,3,2014-10-08,4944,518,1,1,0,0
1,c,a,1270.0,9.0,2008.0,2,2014-10-07,5439,556,1,1,0,0
1,c,a,1270.0,9.0,2008.0,1,2014-10-06,5402,608,1,1,0,0
1,c,a,1270.0,9.0,2008.0,7,2014-10-05,0,0,0,0,0,0
1,c,a,1270.0,9.0,2008.0,6,2014-10-04,5355,621,1,0,0,0
1,c,a,1270.0,9.0,2008.0,5,2014-10-03,0,0,0,1,a,0
1,c,a,1270.0,9.0,2008.0,4,2014-10-02,5400,601,1,1,0,0
1,c,a,1270.0,9.0,2008.0,3,2014-10-01,4712,554,1,1,0,0
1,c,a,1270.0,9.0,2008.0,2,2014-09-30,4919,550,1,1,0,0
1,c,a,1270.0,9.0,2008.0,1,2014-09-29,5280,566,1,1,0,0
1,c,a,1270.0,9.0,2008.0,7,2014-09-28,0,0,0,0,0,0
1,c,a,1270.0,9.0,2008.0,6,2014-09-27,3914,464,1,0,0,0
1,c,a,1270.0,9.0,2008.0,5,2014-09-26,3518,442,1,0,0,0
1,c,a,1270.0,9.0,2008.0,4,2014-09-25,2462,378,1,0,0,0
1,c,a,1270.0,9.0,2008.0,3,2014-09-24,3405,465,1,0,0,0
1,c,a,1270.0,9.0,2008.0,2,2014-09-23,3407,437,1,0,0,0
1,c,a,1270.0,9.0,2008.0,1,2014-09-22,3982,466,1,0,0,0
1,c,a,1270.0,9.0,2008.0,7,2014-09-21,0,0,0,0,0,0
1,c,a,1270.0,9.0,2008.0,6,2014-09-20,3911,500,1,0,0,0
1,c,a,1270.0,9.0,2008.0,5,2014-09-19,4128,485,1,1,0,0
1,c,a,1270.0,9.0,2008.0,4,2014-09-18,3740,447,1,1,0,0
1,c,a,1270.0,9.0,2008.0,3,2014-09-17,4383,490,1,1,0,0
1,c,a,1270.0,9.0,2008.0,2,2014-09-16,4381,511,1,1,0,0
1,c,a,1270.0,9.0,2008.0,1,2014-09-15,4611,545,1,1,0,0
1,c,a,1270.0,9.0,2008.0,7,2014-09-14,0,0,0,0,0,0
1,c,a,1270.0,9.0,2008.0,6,2014-09-13,4270,508,1,0,0,0
1,c,a,1270.0,9.0,2008.0,5,2014-09-12,3906,501,1,0,0,0
1,c,a,1270.0,9.0,2008.0,4,2014-09-11,3392,437,1,0,0,0
1,c,a,1270.0,9.0,2008.0,3,2014-09-10,3275,448,1,0,0,0
1,c,a,1270.0,9.0,2008.0,2,2014-09-09,3377,439,1,0,0,0
1,c,a,1270.0,9.0,2008.0,1,2014-09-08,3676,530,1,0,0,0
1,c,a,1270.0,9.0,2008.0,7,2014-09-07,0,0,0,0,0,0
1,c,a,1270.0,9.0,2008.0,6,2014-09-06,3959,515,1,0,0,0
1,c,a,1270.0,9.0,2008.0,5,2014-09-05,4706,553,1,1,0,1
